사용월,호선명,역ID,지하철역, 4:00, 5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00,01:00,02:00,03:00
Nov-19,2호선,246,신설동,34,1304,1500,3246,6443,5370,5137,6629,7861,8978,10120,11129,12090,14304,17583,7025,4115,3430,2590,898,132,0,0,0
Nov-19,2호선,247,도림천,0,464,1137,2919,3825,2196,2124,1741,2068,1824,2106,2520,3662,3165,3512,1926,984,817,523,248,51,0,0,0
Nov-19,2호선,248,양천구청,27,4837,11529,35544,37017,22252,14566,13279,13863,11952,9957,9237,10555,11755,10367,4800,3325,2882,2535,928,171,0,0,0
Nov-19,2호선,249,신정네거리,70,9025,14225,46960,45954,26572,18712,16201,16318,15355,13262,12813,16554,18618,14548,8390,6009,4763,4357,1900,338,5,0,0
Nov-19,2호선,250,용두(동대문구청),26,1249,1615,5205,8489,4537,3780,3845,4547,4573,4864,5256,5694,5971,6500,3107,2217,1846,1305,531,90,0,0,0
Nov-19,3호선,309,지축,0,239,1555,5458,6812,4208,2770,2276,2456,2280,2056,2496,3543,4005,2105,868,448,309,220,131,27,0,0,0
Nov-19,3호선,310,구파발,176,10462,31729,96774,101555,55839,36470,32858,34216,33616,33019,35932,41777,44211,39683,24771,19370,17142,14331,5046,822,1,1,0
Nov-19,3호선,311,연신내,292,28566,55572,151911,189032,110099,73330,66032,71048,67892,61808,61950,71113,67930,59747,41948,32750,31094,27218,13716,2566,1,0,0
Nov-19,3호선,312,불광,45,10318,20216,58762,73197,42549,30567,28928,29921,32526,31547,33289,35815,37593,38680,22261,17675,16713,11828,5148,885,0,0,0
Nov-19,3호선,313,녹번,18,8749,21602,64333,76276,44599,27477,23338,23756,21552,18960,18316,21824,23764,22280,10679,7713,6483,5394,2344,311,0,0,0
Nov-19,3호선,314,홍제,65,9421,23134,67419,84496,52307,36030,33063,34784,33973,30554,31915,34638,38604,36477,18762,14890,12474,9347,4179,750,0,0,0
Nov-19,3호선,315,무악재,21,2025,4957,16777,19908,12465,8637,7388,7083,6744,5876,5460,5949,6580,7525,3291,2350,2254,1561,768,101,0,0,0
Nov-19,3호선,316,독립문,133,5326,6609,18703,24188,18846,15280,16340,18034,17511,17748,19485,22522,19321,18720,9469,7037,5810,4389,1415,217,1,0,0
Nov-19,3호선,317,경복궁(정부서울청사),201,3836,6526,16077,24221,25626,22975,31129,38382,50898,58447,70961,93543,109494,133201,57312,43412,51543,34613,12323,1760,0,0,0
Nov-19,3호선,318,안국,43,1950,3490,7103,10900,12991,16368,25221,36587,43991,55792,69725,90069,134592,139509,60271,48089,44782,27510,8550,1085,0,0,0
Nov-19,3호선,319,종로3가,14,1006,1554,2212,3550,5547,7853,10492,12688,14878,18310,22972,26209,35119,59654,40229,21398,22701,17256,7773,1057,2,0,0
Nov-19,3호선,320,을지로3가,2,633,1409,2714,4989,8289,10316,12100,12672,15328,17702,19632,22640,38988,73338,34989,22837,22279,17756,9939,1619,3,0,0
Nov-19,3호선,321,충무로,0,0,0,0,2,0,1,2,0,2,3,3,2,1,2,8,3,4,1,1,1,0,0,0
Nov-19,3호선,322,동대입구,16,1775,2762,5862,9923,8715,11433,14261,16989,23512,24250,28784,34610,53153,57290,32165,39052,30018,20848,7330,895,1,0,0
Nov-19,3호선,323,약수,128,6813,11159,29303,45825,32884,23267,21813,24238,25318,22921,23216,26649,30324,38654,22979,18170,17559,13763,6430,1173,4,0,0
Nov-19,3호선,324,금호,49,5194,10556,29296,43571,28578,18136,14972,14024,14279,12010,11543,12286,13909,13425,8801,6610,5199,4136,1946,399,0,0,0
Nov-19,3호선,325,옥수,265,3405,9859,26670,40281,27078,18948,17145,16295,17431,15800,15646,17900,20155,20666,13243,10065,8810,6451,2929,526,0,0,0
