지점,지점명,일시,평균기온(°C),일강수량(mm),일 최심신적설(cm)
268,진도군,20180826,26.2,8,
268,진도군,20180827,27.1,0.5,
268,진도군,20180828,27.4,,
268,진도군,20180829,26.9,0.5,
268,진도군,20180830,27.7,,
268,진도군,20180831,26.3,33,
268,진도군,20180901,24.1,4,
268,진도군,20180902,24.4,,
268,진도군,20180903,26.3,3,
268,진도군,20180904,24,60.5,
268,진도군,20180905,23.5,,
268,진도군,20180906,23.5,0.2,
268,진도군,20180907,21.7,19.5,
268,진도군,20180908,19.3,,
268,진도군,20180909,20.6,,
268,진도군,20180910,20.9,,
268,진도군,20180911,20.6,,
268,진도군,20180912,22.5,,
268,진도군,20180913,22.4,24,
268,진도군,20180914,23.5,2.5,
268,진도군,20180915,23.9,0.1,
268,진도군,20180916,23.6,,
268,진도군,20180917,22.6,,
268,진도군,20180918,21.3,,
268,진도군,20180919,20.9,18.5,
268,진도군,20180920,21.7,42,
268,진도군,20180921,21.3,10,
268,진도군,20180922,20.4,,
268,진도군,20180923,20.7,0.3,
268,진도군,20180924,18.9,,
268,진도군,20180925,17.9,,
268,진도군,20180926,19.6,0.5,
268,진도군,20180927,17.8,,
268,진도군,20180928,19.4,,
268,진도군,20180929,19.5,,
268,진도군,20180930,20.3,,
268,진도군,20181001,19.4,0.1,
268,진도군,20181002,17.9,,
268,진도군,20181003,16,,
268,진도군,20181004,18.5,3,
268,진도군,20181005,18.5,112,
268,진도군,20181006,19.8,102,
268,진도군,20181007,19,,
268,진도군,20181008,17.5,,
268,진도군,20181009,17.3,,
268,진도군,20181010,16.1,,
268,진도군,20181011,12.7,0.1,
268,진도군,20181012,13.1,,
268,진도군,20181013,11.7,,
268,진도군,20181014,13.8,,
268,진도군,20181015,15.7,,
268,진도군,20181016,14.5,0.2,
268,진도군,20181017,14.9,,
268,진도군,20181018,14.4,,
268,진도군,20181019,12.5,,
268,진도군,20181020,12,,
268,진도군,20181021,12.1,,
268,진도군,20181022,12.7,0.1,
268,진도군,20181023,13.9,0.2,
268,진도군,20181024,13.6,,
268,진도군,20181025,14.8,,
268,진도군,20181026,16.5,5,
268,진도군,20181027,14,,
268,진도군,20181028,14.9,,
268,진도군,20181029,13.7,,
268,진도군,20181030,10.5,,
268,진도군,20181031,10.1,,
268,진도군,20181101,9.9,,
268,진도군,20181102,11,,
268,진도군,20181103,9.5,,
268,진도군,20181104,9.5,,
268,진도군,20181105,12,,
268,진도군,20181106,12.3,,
268,진도군,20181107,14.5,2,
268,진도군,20181108,16.8,21.5,
268,진도군,20181109,12.4,0.1,
268,진도군,20181110,10.1,,
268,진도군,20181111,10.8,2.9,
268,진도군,20181112,11.6,1.5,
268,진도군,20181113,11.4,,
268,진도군,20181114,9.6,,
268,진도군,20181115,10.6,,
268,진도군,20181116,11.7,8.5,
268,진도군,20181117,10,,
268,진도군,20181118,8.5,,
268,진도군,20181119,7.5,,
268,진도군,20181120,7.5,,
268,진도군,20181121,8.8,,
268,진도군,20181122,6.7,,
268,진도군,20181123,5.9,,
268,진도군,20181124,10.6,2.5,
268,진도군,20181125,7.5,,
268,진도군,20181126,7.9,,
268,진도군,20181127,8.1,,
268,진도군,20181128,7.5,,
268,진도군,20181129,8,,
268,진도군,20181130,7,,
268,진도군,20181201,8.4,,
268,진도군,20181202,13.6,7.5,
268,진도군,20181203,15.9,3,
268,진도군,20181204,11,13,
268,진도군,20181205,5.8,,
268,진도군,20181206,6,6.5,
268,진도군,20181207,0.5,0.3,
268,진도군,20181208,-1.7,0.5,
268,진도군,20181209,-1.1,,
268,진도군,20181210,1.7,,
268,진도군,20181211,3.3,2,
268,진도군,20181212,3.8,,
268,진도군,20181213,5.1,,
268,진도군,20181214,2.4,,
268,진도군,20181215,1.2,,
268,진도군,20181216,3.1,1,
268,진도군,20181217,7.3,,
268,진도군,20181218,4,,
268,진도군,20181219,7.2,,
268,진도군,20181220,10,,
268,진도군,20181221,8.3,,
268,진도군,20181222,8.1,1,
268,진도군,20181223,7,3,
268,진도군,20181224,3.2,,
268,진도군,20181225,3.5,,
268,진도군,20181226,4.4,0.1,
268,진도군,20181227,-0.8,,
268,진도군,20181228,-1.4,0.2,
268,진도군,20181229,-1.3,0.5,
268,진도군,20181230,-0.7,,
268,진도군,20181231,0.6,,
268,진도군,20190101,2.7,,
268,진도군,20190102,2.7,,
268,진도군,20190103,1.9,,
268,진도군,20190104,2.2,,
268,진도군,20190105,3.3,,
268,진도군,20190106,2.1,,
268,진도군,20190107,2.5,,
268,진도군,20190108,3.4,,
268,진도군,20190109,0.4,,
268,진도군,20190110,3,,
268,진도군,20190111,4.7,0.5,
268,진도군,20190112,4.6,1.5,
268,진도군,20190113,5.1,,
268,진도군,20190114,2.8,,
268,진도군,20190115,2.9,,
268,진도군,20190116,0.5,,
268,진도군,20190117,3.9,,
268,진도군,20190118,1.8,,
268,진도군,20190119,2.1,0.5,
268,진도군,20190120,3.7,0.1,
268,진도군,20190121,4.5,,
268,진도군,20190122,4.9,,
268,진도군,20190123,4.6,,
268,진도군,20190124,3,,
268,진도군,20190125,1.3,,
268,진도군,20190126,1.7,,
268,진도군,20190127,2.3,,
268,진도군,20190128,5.7,,
268,진도군,20190129,1.5,,
268,진도군,20190130,4.4,,
268,진도군,20190131,1.4,14,
268,진도군,20190201,1.8,,
268,진도군,20190202,5.9,,
268,진도군,20190203,9.9,5.5,
268,진도군,20190204,3.6,,
268,진도군,20190205,4.3,,
268,진도군,20190206,7.3,,
268,진도군,20190207,2.2,0.5,
268,진도군,20190208,-0.5,,
268,진도군,20190209,0.3,,
268,진도군,20190210,-0.3,,
268,진도군,20190211,1.2,,
268,진도군,20190212,2.5,,
268,진도군,20190213,2.6,,
268,진도군,20190214,0.7,,
268,진도군,20190215,2.7,,
268,진도군,20190216,1.5,,
268,진도군,20190217,2.2,,
268,진도군,20190218,3,1,
268,진도군,20190219,4.2,23.5,
268,진도군,20190220,4.1,,
268,진도군,20190221,4.1,,
268,진도군,20190222,4.7,,
268,진도군,20190223,6.6,,
268,진도군,20190224,6.2,,
268,진도군,20190225,5.1,,
268,진도군,20190226,5.8,,
268,진도군,20190227,6.7,2.5,
268,진도군,20190228,6.7,,
268,진도군,20190301,6.5,,
268,진도군,20190302,9.4,,
268,진도군,20190303,9.1,1,
268,진도군,20190304,7.5,,
268,진도군,20190305,6.9,0.5,
268,진도군,20190306,8.9,4,
268,진도군,20190307,6.2,,
268,진도군,20190308,5.2,,
268,진도군,20190309,8,2,
268,진도군,20190310,8.3,18.5,
268,진도군,20190311,6.4,1.5,
268,진도군,20190312,6.9,,
268,진도군,20190313,6.1,,
268,진도군,20190314,6.4,,
268,진도군,20190315,8.2,,
268,진도군,20190316,6.7,,
268,진도군,20190317,7.1,,
268,진도군,20190318,6.8,,
268,진도군,20190319,7.9,,
268,진도군,20190320,12.4,15,
268,진도군,20190321,8.1,,
268,진도군,20190322,5.2,,
268,진도군,20190323,6.2,,
268,진도군,20190324,4.4,,
268,진도군,20190325,6.8,,
268,진도군,20190326,10.4,,
268,진도군,20190327,13.4,,
268,진도군,20190328,10.3,,
268,진도군,20190329,9.8,,
268,진도군,20190330,8.2,0.5,
268,진도군,20190331,6.9,,
268,진도군,20190401,8.7,,
268,진도군,20190402,7.7,,
268,진도군,20190403,6.4,,
268,진도군,20190404,7.9,,
268,진도군,20190405,10.6,,
268,진도군,20190406,11.1,,
268,진도군,20190407,12.3,11.5,
268,진도군,20190408,11.3,,
268,진도군,20190409,11.1,15.5,
268,진도군,20190410,8.3,2,
268,진도군,20190411,9.4,,
268,진도군,20190412,9.3,,
268,진도군,20190413,11.1,,
268,진도군,20190414,10.8,,
268,진도군,20190415,10,,
268,진도군,20190416,13.7,,
268,진도군,20190417,13.8,3.5,
268,진도군,20190418,14.3,,
268,진도군,20190419,15.1,,
268,진도군,20190420,14.8,,
268,진도군,20190421,15.7,,
268,진도군,20190422,17.7,,
268,진도군,20190423,16.9,7,
